JOB_ID      Course Title
0      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
67      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.05737704918032787]  ['Intro to Software Project Management', 0.05785123966942149]  
68      ['Object‑Oriented Programming (CS105)', 0.02040816326530612]  ['IT in Business (CS114)', 0.028985507246376812]  ['Design & Analysis of Algorithms (CS302)', 0.045454545454545456]  
69      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
70      ['Design Patterns (CS540)', 0.033707865168539325]  ['Corporate Accounting - I (MG221)', 0.034482758620689655]  ['Business Analytics', 0.044444444444444446]  
71      ['Design & Analysis of Algorithms (CS302)', 0.0449438202247191]  ['Object Oriented Analysis & Design (CS309)', 0.04827586206896552]  ['Intro to Software Project Management', 0.056451612903225805]  
72      ['IT in Business (CS114)', 0.02877697841726619]  ['Design & Analysis of Algorithms (CS302)', 0.03333333333333333]  ['Object Oriented Analysis & Design (CS309)', 0.04827586206896552]  
73      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
74      ['Object‑Oriented Programming (CS105)', 0.021052631578947368]  ['IT in Business (CS114)', 0.02962962962962963]  ['Design & Analysis of Algorithms (CS302)', 0.047058823529411764]  
75      ['Introduction to Computer Science (CS102)', 0.017241379310344827]  ['IT in Business (CS114)', 0.02857142857142857]  ['Design & Analysis of Algorithms (CS302)', 0.044444444444444446]  
76      ['Mobile Ubiquitous Computing (CS602)', 0.03597122302158273]  ['Leadership in Organizations (MG218)', 0.036036036036036036]  ['Corporate Accounting - I (MG221)', 0.04827586206896552]  
77      ['Object‑Oriented Programming (CS105)', 0.021052631578947368]  ['IT in Business (CS114)', 0.02962962962962963]  ['Design & Analysis of Algorithms (CS302)', 0.047058823529411764]  
78      ['IT in Business (CS114)', 0.028985507246376812]  ['Design & Analysis of Algorithms (CS302)', 0.033707865168539325]  ['Object Oriented Analysis & Design (CS309)', 0.041379310344827586]  
79      ['Design & Analysis of Algorithms (CS302)', 0.03488372093023256]  ['Object Oriented Analysis & Design (CS309)', 0.04225352112676056]  ['Management Sciences', 0.04918032786885246]  
80      ['Design & Analysis of Algorithms (CS302)', 0.034482758620689655]  ['Leadership in Organizations (MG218)', 0.037037037037037035]  ['Corporate Accounting - I (MG221)', 0.04929577464788732]  
81      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
82      ['IT in Business (CS114)', 0.03676470588235294]  ['Human Computer Interaction (CS422)', 0.04040404040404041]  ['Ontology Storage & Management (CS616)', 0.0449438202247191]  
83      ['Design Patterns (CS540)', 0.033707865168539325]  ['Corporate Accounting - I (MG221)', 0.034482758620689655]  ['Business Analytics', 0.044444444444444446]  
84      ['Introduction to Computer Science (CS102)', 0.018018018018018018]  ['IT in Business (CS114)', 0.02962962962962963]  ['Design & Analysis of Algorithms (CS302)', 0.047058823529411764]  
85      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
86      ['Object‑Oriented Programming (CS105)', 0.02040816326530612]  ['IT in Business (CS114)', 0.028985507246376812]  ['Design & Analysis of Algorithms (CS302)', 0.045454545454545456]  
87      ['Design & Analysis of Algorithms (CS302)', 0.03333333333333333]  ['MS Project‑I (CS573)', 0.03669724770642202]  ['Ontology Storage & Management (CS616)', 0.04395604395604396]  
88      ['IT in Business (CS111)', 0.010638297872340425]  ['IT in Business (CS114)', 0.03676470588235294]  ['Object Oriented Analysis & Design (CS309)', 0.04895104895104895]  
89      ['Design & Analysis of Algorithms (CS302)', 0.047058823529411764]  ['Management Sciences', 0.04918032786885246]  ['Intro to Software Project Management', 0.058333333333333334]  
90      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
91      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
92      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
93      ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Management Sciences', 0.04878048780487805]  ['Intro to Software Project Management', 0.05785123966942149]  
94      ['Design Patterns (CS540)', 0.033707865168539325]  ['Corporate Accounting - I (MG221)', 0.034482758620689655]  ['Business Analytics', 0.044444444444444446]  
95      ['Design & Analysis of Algorithms (CS302)', 0.0449438202247191]  ['Object Oriented Analysis & Design (CS309)', 0.04827586206896552]  ['Intro to Software Project Management', 0.056451612903225805]  
96      ['Design Patterns (CS540)', 0.033707865168539325]  ['Corporate Accounting - I (MG221)', 0.034482758620689655]  ['Business Analytics', 0.044444444444444446]  
97      ['IT in Business (CS114)', 0.037037037037037035]  ['Design & Analysis of Algorithms (CS302)', 0.046511627906976744]  ['Corporate Accounting - I (MG221)', 0.04929577464788732]  
98      ['Design & Analysis of Algorithms (CS302)', 0.03488372093023256]  ['Object Oriented Analysis & Design (CS309)', 0.04225352112676056]  ['Management Sciences', 0.04918032786885246]  
